Presenter Name,Institution
Vanghelis Vassilatos,Athens University of Economics and Business
Samreen Malik,NYU - Abu Dhabi
Yves Stephan Schueler,University of Konstanz
Johanna Krenz,Humboldt-Universität zu Berlin
Galip Ozhan,University of Washington
Stefan Avdjiev,Bank for International Settlements
Vladimir Vladimirov,University of Amsterdam
Jing Zeng,Frankfurt School of Finance and Management
Patricia Charlety,Essec Business School
Günter Strobl,Frankfurt School of Finance & Management
Sofoklis Goulas,"University of North Carolina,Chapel Hill"
Sergey Lychagin,Central European University
Maria Marchenko,University of Mannheim
Matthijs Oosterveen,Erasmus University Rotterdam
Simeon Schudy,University of Munich
Marcel Stadelmann,ETH Zürich
Fabian Feger,University of Bern
Alex Dickson,University of Strathclyde
Qi Xu,University of Warwick
Ingmar Roevekamp,Leibniz University of Hanover
Thomas Kostka,European Central Bank
Michele Ca' Zorzi,European Central Bank
Tobin Hanspal,Copenhagen Business School
Lukas Mayr,European University Institute
João Amador,Banco de Portugal
Marc Teignier,Universitat de Barcelona
Chen Li,University of Munich
Hartmut Egger,University of Bayreuth
Stela Rubínová,"The Graduate Institute, Geneva"
Mario Larch,University of Bayreuth
Fabian Eckert,
Camelia Turcu,University of Orléans - LEO
Melanie Krause,University of Hamburg
Yiquan Gu,University of Liverpool
Domenico Menicucci,Universita' degli Studi di Firenze
Chris Wilson,Loughborough University
Topi Miettinen,Hanken School of Economics
Yiqiao Sun,European Central Bank; WHU-Otto Beisheim School of Management
Bernardino Adao,Banco de Portugal
Sarah Mouabbi,Banque de France
Gregor Baeurle,Swiss National Bank
Lionel Cottier,University of Lausanne
Lennart Ziegler,University of Amsterdam
Kaisa Kotakorpi,University of Turku
Romain Espinosa,University Paris 2 Panthéon Assas
Viktar Fedaseyeu,Bocconi University
Jan Zapal,"CERGE-EI, IAE-CSIC, and Barcelona GSE"
Riikka Savolainen,Helsinki Center of Economic Research (HECER)
Christoph Koenig,University of Bristol
Klaus Kultti,university of helsinki
Dmitriy Knyazev,Bonn University
Andreas Frick,Leibniz University of Hannover
Christian Kiedaisch,University of  Zurich
Andreas Mueller,Columbia University
Michael Neugart,Technische Universität Darmstadt
Anne Bucher,Université de Strasbourg
Alexey Gorn,Bocconi University
Hale Utar,Bielefeld University
Selva Baziki,Central Bank of the Republic of Turkey
Sarra Ben Yahmed,Centre for European Economic Research (ZEW) Mannheim
Yuan Zi,"The Graduate Institute, Geneva (IHEID)"
Florian Chatagny,ETH Zürich
Nicholas Sheard,Norwegian University of Science and Tech
Luisa Gagliardi,University of Geneva and LSE-SERC
Florent Dubois,Aix-Marseille University
Alexandra Heimisch,ifo Institute
Erina Ytsma,MIT
Jörg Lingens,U Münster
Theodore Koutmeridis,University of Glasgow
Claudia Cerrone,"Max Planck Institute, Bonn"
Anett John,CREST
Kathrin Schlafmann,Institute for International Economic Studies
Ed Hopkins,University of Edinburgh
Pedro Valls Pereira,Sao Paulo School of Economics - FGV
Julien Penasse,Luxembourg School of Finance
Luis Filipe Martins,ISCTE - Lisbon University Institute
Simon van Norden,HEC Montréal
Giuseppe Attanasi,University of Strasbourg
Alia Gizatulina,University of St. Gallen
Harald Dale-Olsen,Institute for Social Research
Andreas Reischmann,
Selma Telalagic,University of Oxford
Luke Haywood,DIW Berlin
Marianne Bruins,Oxford University
S Anukriti,Boston College
Jungbin Hwang,University of California San Diego
Luca De Angelis,University of Bologna
Robert Taylor,University of Essex
Giuseppe Cavaliere,University of Bologna
Keiichiro Kobayashi,Keio University
Johannes Brumm,University of Zurich
Richard M. H. Suen,University of Leicester
Jan Hendrik Gravert,University of Wuppertal
Paul Hubert,OFCE - Sciences Po
Martin Mandler,Deutsche Bundesbank
