Presenter Name,Institution
Anna Werbeck,RGS Econ
Benjamin Zaranko,Institute for Fiscal Studies
Thomas Hoe,Cornell University
Christopher A. Hartwell,Bournemouth University
Thorsten Lehnert,University of Luxembourg
Max Viskanic,Sciences Po Paris and LIEPP
Sohnke Bartram,University of Warwick
Jakub Growiec,Warsaw School of Economics & Narodowy Bank Polski
Joseba Martinez,London Business School
Thomas Jansson,Sveriges riksbank
Andreas Irmen,University of Luxembourg
Elizabeth Casabianca,Prometeia Associazione
Niels Gilbert,De Nederlandsche Bank
Aliaksandr Zaretski,Emory University
Johannes Poeschl,Danmarks Nationalbank
Sebastian Cortes Corrales,University of Leicester
Neha Bose,University of Warwick
Fynn Strohecker,University of Rostock
Lawrence Choo,University of Erlangen-Nuremberg
Gerda Buchmueller,Lancaster University
Mariana Tavares,School of Business and Economics - Maastricht University
Sonkurt Sen,University of Essex
Elise Huillery,University Paris-Dauphine
Marco Ratto,European Commission - Joint Research Centre
Paul Hunermund,Maastricht University
Yiru Wang,Universitat Pompeu Fabra (UPF)
Robert Lieli,Central European University
Suphi Sen,ifo Institute
Linus Mattauch,
Mathias Mier,ifo Institute
Dario Fauceglia,Zurich University of Applied Sciences
Iñigo Iturbe-Ormaetxe,University of Alicante
Alberto Cardaci,Università Cattolica del Sacro Cuore
Peter Matthews,Middlebury College
Christian Meyer,European University Institute
Christin Hoffmann,Brandenburg University of Technology
Vera Angelova,
Andreas Orland,University of Potsdam
Audinga Baltrunaite,Bank of Italy
John Mondragon,Northwestern University
João Santos,Nova School of Business and Economics
Michaela Slotwinski,Universität Basel & ZEW Mannheim
Sarra Ben Yahmed,ZEW Mannheim
Quentin Lippmann,Paris School of Economics
German Cubas,University of Houston
Marco Di Cataldo,London School of Economics
Arno Van der Vlist,University of Groningen
Martin Guenther,"Royal Holloway College, University of London"
Daniel Da Mata,Sao Paulo School of Economics - FGV
Martin Guzi,Masaryk University
Florian Neumeier,ifo Institute Munich; University of Munich (LMU)
Andrew Aitken,National Institute of Economic & Social Research
Sven Steinkamp,Osnabrueck University
Fernando Eguren-Martin,Bank of England
Martin Schmitz,European Central Bank
Fabrizio Venditti,European Central Bank
Mark Kerssenfischer,Deutsche Bundesbank
Lena Dräger,Leibniz University Hannover
Malte Rieth,DIW Berlin
Joao Duarte,Nova SBE
Kate Reinold,Bank of England
Peter Tillmann,Justus-Liebig-Universität Gießen
Zexi Sun,Goethe University Frankfurt
Michael Ehrmann,ECB
Matija Lozej,Central Bank of Ireland
Philipp Harms,Johannes Gutenberg University Mainz
Weidi Yuan,University of Geneva
Wilko Bolt,De Nederlandsche Bank
Roweno J.R.K. Heijmans,Tilburg University
Christian Kubitza,University of Bonn
Spyros Terovitis,University of Amsterdam
Marco Ottaviani,Bocconi University
Eric Melander,University of Warwick
Erqi GE,Universtitat Pompeu Fabra
Andreas Stegmann,CEMFI
Tom-Reiel Heggedal,BI Norwegian Business School
Paola Rossi,Banca d'Italia
Ximena Játiva,University of Fribourg
Arnaud Daymard,Université de Cergy-Pontoise
Sarmistha Pal,University of Surrey
Diego Känzig,London Business School
Daniel Fehrle,University of Augsburg
Lorant Kaszab,Central Bank of Hungary
Stephanie Ettmeier,German Institute for Economic Research (DIW) Berlin
Matěj Bělín,CERGE-EI
Enxhi Tresa,University of Cergy-Pontoise
Takumi Naito,Waseda University
Gino Gancia,QMUL and CREI
Laura KHOURY,Paris School of Economics
Andrea Albanese,Luxembourg Institute of Socio-Economic Research
Tania Fernández Navia,University of Barcelona
Christian Hutter,Institute for Employment Research (IAB)
James Mitchell,University of Warwick
Giulia Mantoan,University of Warwick
Ana Beatriz Galvao,University of Warwick
Bingchao Huangfu,Zhongnan University of Economics and Law
Flavio Toxvaerd,University of Cambridge
Spyros Galanis,"City, University of London"
Cagri Kumru,Australian National University
Sergii Kiiashko,"National Bank of Ukraine, Kyiv School of Economics"
Neil Mehrotra,Brown University
Octavio Tourinho,UERJ - Universidade do Estado do Rio de Janeiro
Guillaume Pommey,Paris School of Economics and EHESS
Matthias Lang,University of Munich (LMU)
Jacopo Bizzotto,OsloMet
Andy Zapechelnyuk,University of St Andrews
Stefano Schiaffi,Bank of Italy
Dennis Umlandt,University of Kiel
Jarko Fidrmuc,ZU Friedrichshafen
Astrid Krenz,Durham University
Shuqiao Sun,University of Michigan
Nicholas Lawson,Université du Québec à Montréal
Qing Liu,Tsinghua University
Jonas Loebbing,University of Cologne
Martin Stuermer,Federal Reserve Bank of Dallas
Diego Restuccia,University of Toronto
Erin Hengel,University of Liverpool
Hayri Arslan,Queen's University
Konstantin Sonin,University of Chicago
Ernesto Villanueva,Banco de España
Junze Sun,University of Amsterdam
Erika Pini,Université Catholique de Louvain
Heng Chen,The University of Hong Kong
ran spiegler,N/A
Toshihiro Okada,Kwansei Gakuin University
Li Anpeng,The Australian National University
Anthony Savagar,University of Kent
Javier Quintana Gonzalez,"Bocconi University, Milan"
Bernardita Vial,Pontificia Universidad Catolica de Chile
Maria Garcia-Vega,Nottingham University
Shengyu Li,The University of New South Wales
Ignacia Mercadal,Columbia University
Andrii Babii,"University of North Carolina, Chapel Hill"
Ruoyao Shi,University of California Riverside
ELIA LAPENTA,Toulouse School of Economics
Keith Knight,University of Toronto
Tomasz Zawisza,European University Institute
Darong Dai,Shanghai University of Finance and Economics
Shiv Dixit,University of Minnesota
Martin Gonzalez-Eiras,University of Copenhagen
Manh Cuong Pham,Lancaster University
André Santos,Universidade Federal de Santa Catarina
Matthias Kaldorf,University of Cologne
Christopher Walsh,Technical University Dortmund
Benjamin Guin,Bank of England
Ieva Sakalauskaite,Bank of England/University of Amsterdam
Dawid Zochowski,European Central Bank
Martijn Boermans,De Nederlandsche Bank
Yalin Gunduz,Deutsche Bundesbank
Romulo Alves,Rotterdam School of Management (Erasmus University Rotterdam)
Spyridon Sichlimiris,Örebro university
Nikolaos Charalampidis,"University of California, Irvine"
Zivile Zekaite,Central Bank of Ireland
antoine RENUCCI,UPPA
Wolfgang Gick,IFN Stockholm and Free U Bolzano
Daniela Scur,Massachussets Institute of Technology
Andreas Kammerlander,
Michael Dotsey,Federal Reserve Bank of Philadelphia
Rachel Cassidy,Institute for Fiscal Studies
Jakob Everding,University of Hamburg
Thorben Korfhage,RWI-Essen
Norman Bannenberg,University of Duisburg-Essen
Susanne Wellmann,University of Tuebingen
Lilia Ruslanova (Khabibulina),University of Zurich
Chryssi Giannitsarou,University of Cambridge
Naomi Gershoni,Ben Gurion University of the Negev
Maria Marchenko,WU Vienna
Helmut Stix,Oesterreichische Nationalbank
Anna Kerkhof,University of Cologne
fabio montobbio,Università Cattolica del Sacro Cuore
Oliver Rehbein,University of Bonn
Robert Goodhead,Central Bank of Ireland
Francisco Queiros,European University Institute
Andreas Westermark,Sveriges Riksbank
Petr Harasimovic,Loughborough University
Matthias Paustian,Federal Reserve Board of Governors
Johannes Strobel,Goethe-University Frankfurt
Siddhartha Sanghi,Washington University in St. Louis
Raun Van Ooijen,University of Groningen
Miriam Gensowski,University of Copenhagen
Hélène Le Forner,Paris School of Economics
Orazio Attanasio,University College London
Barra Roantree,Economic and Social Research Institute
Giulia Giupponi,London School of Economics
Lucie Gadenne,University of Warwick
Nicola Borri,LUISS University
Marcin Bielecki,Narodowy Bank Polski and University of Warsaw
Ctirad Slavik,CERGE-EI
Bernardino Adão,Banco de Portugal
Fabian Stöckl,TU Berlin & DIW Berlin
Eugenie Dugoua,LSE
Salwan Saif,University of Erlangen-Nürnberg
Lara Cockx,Nazarbayev University
Dante Amengual,CEMFI
Kirill Evdokimov,Universitat Pompeu Fabra
Hayato Nakanishi,Kanagawa University
Radoslav Raykov,Bank of Canada
Karamfil Todorov,The London School of Economics (LSE)
Maria Chiara Iannino,University of St. Andrews
James Taylor,Australian National University
Kohei Iwasaki,University of Wisconsin-Madison
Patrick Schmidt,HITS
Jan Voßwinkel,NGU | Nuertingen-Geislingen University
Annalisa Marini,University of Exeter
Peiyao Shen,ShanghaiTech University
Lucy White,"Questrom School of Management, Boston Un"
Tim Worrall,University of Edinburgh
Lars Stole,University of Chicago
Juan Pablo Rincón-Zapatero,Universidad Carlos III de Madrid
Leslie Reinhorn,University of Durham
Peter Hammond,University of Warwick
Jiayi Wen,Xiamen University
Kai-Uwe Mueller,DIW Berlin
Sena Coskun,University of Mannheim
Thomas Jørgensen,University of Copenhagen
Nikolay Iskrev,Bank of Portugal
Jamie Hentall MacCuish,University College London
Yi Chen,Cornell University
Georgy Lukyanov,École polytechnique
Daniel Bird,Tel-Aviv Universtiy
Sebastian Giesen,Deutsche Bundesbank
Lars Other,Friedrich-Schiller-University Jena
Arunima Sinha,Fordham University
Chi-Yang Tsou,Hong Kong University of Science and Technology
Gabor Pinter,Bank of England
Svetlana Bryzgalova,London Business School
Valerio Dotti,Washington University is St. Louis
Eduardo Zambrano,Cal Poly
Zhiqi Zhao,Shanghai University of International Business and Economics
Veronica Guerrieri,University of Chicago
Sergei Mikhalishchev,CERGE-EI
Yingying Zhang,Lancaster University
Boris Brekhov,Free University of Berlin
Julien Bergeot,Université de Cergy Pontoise
Mauricio Salgado Moreno,Humboldt-Universität zu Berlin
Donata Faccia,European Central Bank and Trinity College Dublin
Rainer Frey,Deutsche Bundesbank
Fridrik Baldursson,"Reykjavik University, School of Business"
Julian Hackinger,Technical University of Munich
Jonathan Bezalel,University of Leicester
Adrian Bruhin,University of Lausanne
Pawel Kopiec,National Bank of Poland
Kieran Larkin,UCL
Wei Cui,University College London
Humberto Llavador,Universitat Pompeu Fabra
Stan Olijslagers,University of Amsterdam
Vadym Volosovych,Erasmus University Rotterdam
Luisa Farinha,
Pierluca Pannella,Sao Paulo School of Economics - FGV
Belinda Tracey,Bank of England
Angela Capolongo,Université Libre de Bruxelles
Gian Luca Clementi,New York University
Karen Mumford,University of York
Sofia Izquierdo Sanchez,University of Huddersfield
Andrea Moro,Università Ca' Foscari di Venezia and Vanderbilt University
Sevim Kosem,London School of Economics
Marcus Ingholt,University of Copenhagen
Celso Brunetti,Federal Reserve Board
Sebastian Werner,Zeitfenster Economics Consultancy
Manuel Mosquera-Tarrio,University of Manchester
Damjan Pfajfar,Board of Governors of the Federal Reserve System
Renke Schmacker,DIW Berlin
Jeremy Boccanfuso,Paris school of Economics
Andreas Gerster,University of Mannheim
Wenqian Huang,
Zhu Wang,Federal Reserve Bank of Richmond
Michael Hellwig,ZEW Mannheim
Marco Fregoni,University of Milan
Tuukka Saarimaa,Aalto University
Greg Howard,University of Illinois at Urbana-Champaign
Tilman Borgers,University of Michigan
Vasiliki Skreta,UT Austin and University College London
Jon Eguia,Michigan State University
Ayush Pant,University of Warwick
Freek Van Gils,Tilburg University
Peter Huber,Austrian Institute of Economic Research
Eleonora Porreca,Bank of Italy
Bastien Alvarez,"ENS Paris Saclay, University Paris Saclay"
Patrice Bougette,"Université Côte d'Azur, CNRS, GREDEG, France"
Alexis Larousse,CREST - Ecole Polytechnique
Yikai Wang,University of Oslo
Richard Holt,University of Edinburgh
Takeshi Nakata,Niigata University
Stylianos Papageorgiou,University of Cyprus
Kalin Nikolov,European Central Bank
Torben Mideksa,Uppsala University
Yichen Christy Zhou,Clemson University
Holger Strulik,University of Goettingen
Todd Prono,Federal Reserve Board
Chor-yiu (CY) SIN,National Tsing Hua University
FARSHID Vahid,Monash University
Guanming He,Durham University
Serafeim Tsoukas,University of Glasgow
Hiroki Shinozaki,Osaka University
Thomas Daske,"TUM School of Management, Technical University of Munich"
Nuh Aygun Dalkiran,Bilkent University
Amos Golan,American University and Santa Fe Institute
Alastair Hall,University of Manchester
Christian Julliard,London School of Economics
Rafael De Rezende,Bank of England
Abraham Lioui,EDHEC Business School
Indrajit Mitra,University of Michigan
Johannes Hoelzemann,University of Toronto.
Sebastiano Della Lena,Ca' Foscari University of Venice
Ryoji Sawa,University of Tsukuba
Oliver Schulz,University of Muenster
Edwin FOURRIER-NICOLAÏ,Aix-Marseille University
Minchul Yum,University of Mannheim
Camila Campos,Insper
Michel Dummar Azulai,Institute for Fiscal Studies
Timo Reinelt,University of Mannheim
Thibaut Duprey,Bank of Canada
Jason Choi,University of Wisconsin-Madison
Juan Sanchez,Federal Reserve Bank of St. Louis
Jie Luo,Tsinghua University
Istvan Konya,Hungarian Academy of Sciences
Matias Cortes,York University
Ghazala Azmat,Sciences Po
Andrea Weber,Central European University
Ralph Luetticke,University College London
Christina Patterson,Massachusetts Institute of Technology
Benjamin Moll,Princeton University
Jan Eeckhout,University College London and Barcelona
Eric Zwick,University of Chicago
Kate Smith,Institute for Fiscal Studies
Maria Petrova,New Economic School
Andrea Tesei,Queen Mary
Christopher Roth,Institute on Behavior and Inequality
Botond Koszegi,Central European University
Johannes Abeler,University of Oxford
Yan Chen,University of Michigan
Giorgio Primiceri,Northwestern University
Frank Schorfheide,University of Pennsylvania
Quynh-Anh Vo,Bank of England
Gaëtan Le Quang,
Andreas Barth,Goethe University Frankfurt / SAFE
Tamar Gomez,Imperial College
Alessia Lo Turco,Università Politecnica delle Marche
Anna Minasyan,University of Groningen
Nauro Campos,Brunel University London
Adam Elbourne,CPB Netherlands Bureau for Economic Policy Analysis
Benoit Nguyen,Banque de France
Bernd Schwaab,European Central Bank
Julia Salmi,Aalto University
Michael Mandler,University of London Royal Holloway Coll
Raghul Venkatesh,Aix-Marseille University
Antonio Nicolo,"University of Padova, Italy"
Nicolas Schreiner,University of Basel
Dmitriy Veselov,Higher School of Economics
Carlos Sanz,Bank of Spain
Zehao Liu,Renmin University of China
Davide Romelli,Trinity College Dublin
Rob Nijskens,Tilburg University
Arzu Uluc,Bank of England
Helena Schweiger,EBRD
Aron Gereben,European Investment Bank
Matej Bajgar,OECD
Christoph Weiss,European Investment Bank
Wladislaw Mill,University of Mannheim
Nora Szech,Karlsruhe Institute of Technology
