Presenter Name,Institution
Guido Tabellini,Bocconi University
Jose G. Montalvo,Universitat Pompeu Fabra
Farshad Ranjabr Ravasan,Paris School of Economics
Sarah Holton,European Central Bank
Alfredo Martin-Oliver,University Balearic Islands
Anders Fredriksson,University of São Paulo
Gregor Singer,London School of Economics
Martin Guenther,"Royal Holloway College, University of London"
Shuo YAN,South University of Science&Technology
Yicong Lin,Maastricht University
Wiktor Budziński,University of Warsaw
Mu-Chun Wang,University of Hamburg
Barbara Sadaba,Bank of Canada
Martin Bruns,DIW Berlin
Pilar Poncela,Universidad Autónoma de Madrid (SPAIN)/ Joint Research Center (ITALY)
G. Charles-Cadogan,"University of Leicester, School of Busi"
Camilo Umana Dajud,CEPII
Nicole Loumeau,ETH Zürich
Mads Hejlesen,Aarhus University
Marcel Henkel,University Duisburg-Essen
Vincent Pons,Harvard Business School
Ulrich Matter,University of St. Gallen
Carlos Sanz,Bank of Spain
Enrique Burbano Valencia,Universidad de San Buenaventura - Cali
Feng Zhu,Bank for International Settlements
Konstantin Platonov,UCLA
Sarita Bunsupha,Harvard University
Ralph Verhoeks,Erasmus University Rotterdam
Ro'i Zultan,Ben-Gurion University of the Negev
Stephan Müller,Göttingen University
Florian Peiseler,"Duesseldorf Institute for Competition Economics, University of Duesseldorf"
Felix Peterhammer,University of Regensburg
Paul Vertier,Sciences Po
Quentin Lippmann,Paris School of Economics
Iris Kesternich,University of Leuven
Gozde Corekcioglu,European University Institute
Martijn Boermans,De Nederlandsche Bank
Miguel Karlo De Jesus,Colegio Universitario de Estudios Financieros
Sohnke Bartram,University of Warwick
Hugues Langlois,HEC Paris
Nuno Paixao,Bank of Canada
Anna Grodecka,Sveriges Riksbank
Cenkhan Sahin,European Central Bank
Tom Schmitz,Bocconi University
Markus Kirchner,Central Bank of Chile
Marco Bottone,Banca d'Italia
Sarah Lein,University of Basel
Jonas Dovern,Heidelberg University
Sandro Ambuehl,University of Toronto
Tsz Kin Leung,Toulouse School of Economics
Katharina Momsen,University of Innsbruck
Steffen Ahrens,Technische Universität Berlin
Menusch Khadjavi,Christian-Albrechts-University Kiel
Max Steinhardt,Helmut Schmidt University
Effrosyni Adamopoulou,Bank of Italy
Susana Iranzo,Universitat Rovira Virgili
Pierre Deschamps,Sciences-Po
Rocío Sánchez-Mangas,Universidad Autónoma de Madrid
Isabel Stockton,University of Bristol
Michael Burda,Humboldt University Berlin
Renata Bottazzi,University of Bologna
Kathrin Ellieroth,Indiana University Bloomington
Patrick Schneider,Goethe-University Frankfurt
Arnaldur Stefansson,Uppsala University
Michael Peters,Yale University
Terry Yip,McMaster University
Jakob Madsen,Monash University
Bruno Pellegrino,UCLA
Frank Westermann,University of Osnabrueck
Christian Friedrich,Bank of Canada
Lorena Keller,Northwestern University
Katharina Bergant,Trinity College Dublin
Diane Pierret,HEC Lausanne
Gustavo A. Suarez,Federal Reserve
Karol Paludkiewicz,Deutsche Bundesbank
MIguel Boucinha,European Central Bank
Bas Jacobs,Erasmus University Rotterdam
Abdoulaye Ndiaye,Northwestern University
Kjetil Storesletten,University of Oslo
Jeroen Van den bosch,KU Leuven
Jan Philip Schain,Düsseldorf Institute for Competition Economics
Marie Le Mouel,DIW Berlin
Marijn Verschelde,"IESEG School of Management, LEM"
Jose Montalban,Paris School of Economics
Katharina Werner,"Ifo Institute, Munich"
S. Pelin Akyol,Bilkent University
Michela Carlana,Harvard Kennedy School
Byeongju Jeong,CERGE-EI
Terhi Maczulskij,Labour Institute for Economic Research
Clemente Pignatti Morano,International Labour Organization and Graduate Institute of Geneva
Peter Huber,Austrian Institute for Economic Research (WIFO)
Liuchun Deng,Halle Institute for Economic Research
Adam Spencer,University of Wisconsin -- Madison
Arvid Raknerud,Statistics Norway
Andreas Dibiasi,ETH Zurich
Jorge Miranda-Pinto,University of Queensland
Luis Rojas,Universitat Autonoma de Barcelona
Koki Oikawa,Waseda University
Almut Balleer,RWTH Aachen and IIES Stockholm University
Shuhei Takahashi,Kyoto University
Mikael Carlsson,Uppsala University
Joachim Grammig,University of Tuebingen
Julian M. Williams,Durham University Business School
Ana-Maria H. Dumitru,University of Surrey
Dieter Wang,Vrije Universiteit Amsterdam
Jayeeta Bhattacharya,Queen Mary University of London
Fei Liu,Monash University
Timothy Armstrong,Yale University
Christoph Rothe,University of Mannheim
Markus Pelger,Stanford University
Daniele Bianchi,University of Warwick
Jan Hartkopf,University of Cologne
Stanislav Anatolyev,CERGE-EI and New Economic School
Ignace De Vos,Ghent University
Vasilis Sarafidis,Monash University
Carlos Velasco,Universidad Carlos III de Madrid
Hyungsik Roger Moon,University of Southern California
Sergey Popov,Cardiff University
Andrew Mackenzie,Maastricht University
Inacio Bo,WZB Berlin Social Science Center
Bettina Klaus,University of Lausanne
Annie Liang,University of Pennsylvania
Michal Szkup,University of British Columbia
Dirk Engelmann,Humboldt University Berlin
ciril bosch-rosa,Technical University Berlin
Scott Baker,Northwestern University
Sean Hundtofte,Federal Reserve Bank New York
Elisabeth Megally,SFI and UZH
Facundo Piguillem,EIEF
Tommaso Giommoni,Bocconi University
Nicolas Werquin,Toulouse School of Economics
Paolo Roberti,University of Bergamo
Clemence Lenoir,CREST-ENSAE
Alexander Tarasov,Higher School of Economics
Pascal Mossay,Newcastle University
Zhu Wang,Federal Reserve Bank of Richmond
Sungjin Cho,Seoul National University
Michele Fioretti,University of Southern California
Jurre Thiel,Vrije Universiteit Amsterdam
Francesc Dilme,University of Bonn
Saori Chiba,Kyoto University
Thomas Gall,University of Southampton
Tsz-Ning Wong,Aalto University
Hitoshi Matsushima,University of Tokyo
Mengxi Zhang,University of Bonn
Alexander Heczko,RWTH Aachen University
Yangwei Song,Humboldt University Berlin
Ramakanta Patra,Cardiff Metropolitan University
Tomasz Sadzik,UCLA
Lina Andersson,University of Gothenburg
Daniel Hauser,Aalto University
Tatiana Mayskaya,National Research University Higher School of Economics
Giacomo Lanzani,Massachusetts Institute of Technology
Drew Fudenberg,Massachusetts Institute of Technology
Alberto Musso,ECB
Geraldine Dany-Knedlik,DIW Berlin
Reinhard Ellwanger,Bank of Canada
Ilya Dergunov,Goethe University Frankfurt  and SAFE
Victoria Atanasov,
Jantje Sönksen,University of Tübingen
Dirk Hackbarth,Boston University
Benjamin Häusinger,LMU Munich
Anja Schöttner,Humboldt-Universität zu Berlin
Rute Caeiro,Universidade Nova de Lisboa
Gunther Bensch,RWI
Mark Schopf,University of Hagen
Eugénie Joltreau,Université Paris Dauphine
Katinka Holtsmark,University of Oslo
Stefanie Haller,University College Dublin
Ina Jäkel,Aarhus University
Jun-Hyung Ko,Aoyama Gakuin University
Vladimir Vladimirov,University of Amsterdam
Alfred Lehar,University of Calgary
Ines Helm,Stockholm University
Gregor Pfeifer,U Hohenheim
Anasuya Raj,Ecole Polytechnique
Amparo Castello-Climent,Institute for International Economics
VERIDIANA Nogueira,University of Essex
Torben Klarl,Bremen University
Tom Lee,Institute for Fiscal Studies
Mi Luo,Emory University
Daniel Kaliski,University of Oxford
Thomas Spycher,University of St. Gallen
Aida Cumurovic,Halle Institute for Economic Research (IWH)
Mette Ejrnaes,University of Copenhagen
Raicho Bojilov,Ecole Polytechnique - CREST
Tomi Kyyrä,VATT Institute for Economic Research
Pierluigi Murro,LUMSA University
Joachim Jungherr,"IAE (CSIC), MOVE, and Barcelona GSE"
Thomas Drechsel,LSE
Massimo Anelli,Bocconi University
Silke Uebelmesser,University of Jena
Mongoljin Batsaikhan,Georgetown University
Romain Baeriswyl,Swiss National Bank
Julian Parra-Polania,Banco de la Republica
Elmar Mertens,Deutsche Bundesbank
Vegard Larsen,Norges Bank
Benjamin Larin,Leipzig University
Aspasia Bizopoulou,University of Edinburgh
Emanuel Hansen,University of Cologne
Jesper Bagger,"Royal Holloway, University of London"
Tuomas Kosonen,Labour Institute for Economic Research
Rafael Treibich,University of Southern Denmark
Konstantin Sonin,University of Chicago
Nicholas Ziros,University of Cyprus
Karolina Stadin,Ratio and Uppsala University
Cheng Wang,Fudan University
Britta Gehrke,Friedrich-Alexander Universität Erlangen-Nürnberg
Ahmed Elsayed,IZA
André Nolte,ZEW Mannheim and IAB Nuremberg
Cesar Alonso-Borrego,Universidad Carlos III
Elias Einiö,VATT & CEP/LSE
Yu Aoki,University of Aberdeen and IZA
Zhongjian Lin,Emory University
Arthur Lewbel,Boston College
Bruno Albuquerque,Ghent University
Pedro Franco de Campos Pinto,Musashi University and Centre for Macroeconomics (LSE)
Preetesh Kantak,"Indiana University, Kelley School of Bus"
Cristiano Cantore,University of Surrey
Tincho Almuzara,CEMFI
Claus Brand,European Central Bank
Manuel Gonzalez-Astudillo,Board of Governors of the Federal Reserve System
Otavio Bartalotti,Iowa State University
Jasmin Fliegner,Toulouse School of Economics and TU Berlin
Qin Liao,The University of Hong Kong
Bo Honore,Princeton University
Arkadiusz Szydlowski,University of Leicester
Whitney Newey,Massachusetts Institute of Technology
Philipp Strack,UC Berkeley
Aldo Rustichini,University of Minnesota
Fabio Maccheroni,U Bocconi
Anton Badev,Federal Reserve Board
Lachlan Deer,University of Zurich
Gabrielle Demange,Paris School of Economics
Cemil Selcuk,Cardiff University
Laurène Bocognano,GREQAM-AMSE
Dmitry Lubensky,Indiana University
Regis Breton,Banque de France
Quynh-Anh Vo,Bank of England
Toni Ahnert,Bank of Canada
